,grade_id,grade_fra
0,0,-
1,1,-
2,2,-
3,3,1
4,4,1a
5,5,1b
6,6,1c
7,7,1+
8,8,2
9,9,2a
10,10,2b
11,11,2c
12,12,2+
13,13,3
14,14,3a
15,15,3a+
16,16,3b
17,17,3b+
18,18,3c
19,19,3c+
20,20,3+
21,21,4
22,22,4a
23,23,4a+
24,24,4b
25,25,4b+
26,26,4c
27,27,4c+
28,28,4+
29,29,5
30,30,5a
31,31,5a+
32,32,5b
33,33,5b+
34,34,5c
35,35,5c+
36,36,6
37,37,6a
38,38,6a/+
39,39,6a+
40,40,6a+/6b
41,41,6b
42,42,6b/+
43,43,6b+
44,44,6b+/6c
45,45,6c
46,46,6c/+
47,47,6c+
48,48,6c+/7a
49,49,7a
50,50,7a/+
51,51,7a+
52,52,7a+/7b
53,53,7b
54,54,7b/+
55,55,7b+
56,56,7b+/7c
57,57,7c
58,58,7c/+
59,59,7c+
60,60,7c+/8a
61,61,8a
62,62,8a/+
63,63,8a+
64,64,8a+/8b
65,65,8b
66,66,8b/+
67,67,8b+
68,68,8b+/8c
69,69,8c
70,70,8c/+
71,71,8c+
72,72,8c+/9a
73,73,9a
74,74,9a/+
75,75,9a+
76,76,9a+/9b
77,77,9b
78,78,9b/+
79,79,9b+
80,80,9b+/9c
81,81,9c
82,82,9c/+
83,83,9c+
84,84,9c+/10a
